2022-05-19 15:05:942 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:367 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:444 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (0e8f3f7b49f91b2ff268ed6e526d7ae6)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:665 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (0e8f3f7b49f91b2ff268ed6e526d7ae6)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:828 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (0e8f3f7b49f91b2ff268ed6e526d7ae6)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:857 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:626 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:642 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:194 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:961 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:385 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:471 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (964ddb2414894f6463fbf14cb2e33803)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:604 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (964ddb2414894f6463fbf14cb2e33803)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:705 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (964ddb2414894f6463fbf14cb2e33803)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:761 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:912 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:450 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:517 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (1ed6f805f6993d303a3e8069653b9eab)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:744 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (1ed6f805f6993d303a3e8069653b9eab)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:903 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (1ed6f805f6993d303a3e8069653b9eab)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:968 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:42 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:463 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:528 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (070d22cf3e3f3991cf95456e6fdb14b4)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:764 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (070d22cf3e3f3991cf95456e6fdb14b4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:923 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (070d22cf3e3f3991cf95456e6fdb14b4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:986 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:70 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:526 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:591 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (73e75d691ae706355a4a7600eea808e8)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:721 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (73e75d691ae706355a4a7600eea808e8)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:829 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (73e75d691ae706355a4a7600eea808e8)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:866 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:247 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:653 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:718 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (781aed40c8b0a2ca34ca1804a4e5baa4)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:861 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (781aed40c8b0a2ca34ca1804a4e5baa4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:973 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (781aed40c8b0a2ca34ca1804a4e5baa4)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:997 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:114 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:496 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:559 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (da0c147e6668c5e9b5b24f8c696a3095)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:785 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (da0c147e6668c5e9b5b24f8c696a3095)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:949 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (da0c147e6668c5e9b5b24f8c696a3095)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:14 INFO  ResultPage :21 - Getting result  Proxy element for: DefaultElementLocator 'By.xpath: //div[@id='result-info']//div[2]/h2'
2022-05-19 15:05:386 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 15:05:757 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 15:05:818 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Australia from dropdown [[ChromeDriver: chrome on WINDOWS (f100f161ba3e550ca7790bff605ba74c)] -> xpath: //select[@id='response']]<br>
2022-05-19 15:05:943 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (f100f161ba3e550ca7790bff605ba74c)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 15:05:982 INFO  ReasonForTravelPage :28 - Clicking on Tourism [[ChromeDriver: chrome on WINDOWS (f100f161ba3e550ca7790bff605ba74c)] -> xpath: //input[@id='response-0']]<br>
2022-05-19 15:05:189 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Continue')]'<br>
2022-05-19 15:05:199 INFO  ResultPage :21 - Getting result  [[ChromeDriver: chrome on WINDOWS (f100f161ba3e550ca7790bff605ba74c)] -> xpath: //div[@id='result-info']//div[2]/h2]
2022-05-19 16:05:372 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 16:05:786 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-19 16:05:852 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (5a7a7b75cb161d6d98bea6a518885e6d)] -> xpath: //select[@id='response']]<br>
2022-05-19 16:05:64 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (5a7a7b75cb161d6d98bea6a518885e6d)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-19 16:05:104 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (5a7a7b75cb161d6d98bea6a518885e6d)] -> xpath: //input[@id='response-1']]<br>
